PolymerType,PolymerConcentration,Solvent,SAA,SodiumChloride,Ethanol,DistanceFromNeedleToCollector,VoltagePower,FlowRate,Temperature,Hydration,Humidity,Size
Chitosan,5,15% Acetic acid,None,0,0,15,20,0.4,25,None,30,0
Chitosan,5,30% Acetic acid,None,0,0,15,20,0.4,25,None,30,0
Chitosan,5,45% Acetic acid,None,0,0,15,20,0.4,25,None,30,65
Chitosan,5,60% Acetic acid,None,0,0,15,20,0.4,25,None,30,70
Chitosan,5,75% Acetic acid,None,0,0,15,20,0.4,25,None,30,125
Chitosan,5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,130
Chitosan,5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,129
Chitosan (90) and PEO (10),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,130
Chitosan (80) and PEO (20),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,125
Chitosan (70) and PEO (30),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,123
Chitosan (60) and PEO (40),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,119
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,114
Chitosan (40) and PEO (60),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,155
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0.1,0,15,20,0.4,25,None,30,116
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0.2,0,15,20,0.4,25,None,30,118
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0.3,0,15,20,0.4,25,None,30,120
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0.4,0,15,20,0.4,25,None,30,0
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,17.5,0.4,25,None,30,108
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,115
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,22.5,0.4,25,None,30,149
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,25,0.4,25,None,30,132
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,10,20,0.4,25,None,30,155
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,12.5,20,0.4,25,None,30,138
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,110
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,17.5,20,0.4,25,None,30,122
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,20,0.4,25,None,30,133
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,20,0.6,25,None,30,160
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,20,0.8,25,None,30,157
Chitosan (50) and PEO (50),5,90% Acetic acid,None,0,0,15,20,1,25,None,30,200
 PVA 99%,8,30% Acetic acid,None,0,0,10,20,4,25,None,30,836
 PVA 99%,8,30% Acetic acid,None,0,0,15,20,4,25,None,30,814
 PVA 99%,8,30% Acetic acid,None,0,0,20,20,4,25,None,30,727
 PVA 99%,8,30% Acetic acid,None,0,0,25,20,4,25,None,30,1045
 PVA 99%,8,30% Acetic acid,None,0,0,20,20,1,25,None,30,1074
 PVA 99%,8,30% Acetic acid,None,0,0,20,20,4,25,None,30,1049
 PVA 99%,8,30% Acetic acid,None,0,0,20,20,7,25,None,30,765
 PVA 99%,8,30% Acetic acid,None,0,0,20,20,10,25,None,30,416
 PVA 99%,8,30% Acetic acid,None,0,0,20,10,4,25,None,30,474
 PVA 99%,8,30% Acetic acid,None,0,0,20,15,4,25,None,30,974
 PVA 99%,8,30% Acetic acid,None,0,0,20,20,4,25,None,30,900
 PVA 99%,8,30% Acetic acid,None,0,0,20,25,4,25,None,30,661
PAN,6,DMF,None,0,0,1.5,21,1.5,25,None,30,208
PAN,8,DMF,None,0,0,1.5,21,1.5,25,None,30,300
PAN,10,DMF,None,0,0,1.5,21,1.5,25,None,30,600
PAN,12,DMF,None,,0,1.5,21,1.5,25,None,30,881
PAN,10,DMF,None,0,0,1.5,21,0.8,25,None,30,398
PAN,10,DMF,None,0,0,1.5,21,1,25,None,30,420
PAN,10,DMF,None,0,0,1.5,21,1.2,25,None,30,510
PAN,10,DMF,None,0,0,1.5,21,1.4,25,None,30,896
PAN,10,DMF,None,0,0,1.5,18,1.5,25,None,30,383
PAN,10,DMF,None,0,0,1.5,19,1.5,25,None,30,344
PAN,10,DMF,None,0,0,1.5,20,1.5,25,None,30,332
PAN,10,DMF,None,0,0,1.5,21,1.5,25,None,30,750
PAN,10,DMF,None,0,0,1.1,21,1.5,25,None,30,200
PAN,10,DMF,None,0,0,1.3,21,1.5,25,None,30,216
PAN,10,DMF,None,0,0,1.5,21,1.5,25,None,30,750
Cellulose acetate,17,Acetone (66.6) + Dimethylacetate (33.3),None,0,0,25,25,1,20,None,50,750
Na alginate (70)  and PEO (30) ,4,Water,0.5 % Triton,0,0,16,10.5,0.4,25,None,30,124
PVA88,8,Water,None,0,0,15,10,,80,None,30,190
PVA92,8,Water,None,0,0,15,10,,80,None,30,200
PVA96,8,Water,None,0,0,15,10,,80,None,30,220
PVA99.9,8,Water,None,0,0,15,10,,80,None,30,470
PVA99.9  (99.5) and  PAA (0.5),8,Water,None,0,0,15,10,,80,None,30,290
PVA99.9 (99.5)  and  PAA (0.5),8,Water,None,0,0,15,10,,80,Water 1h,30,270
Collagen (50) and Elastin (50) and PEO (0.5)  ,3,10mM Hydrochloric acid,None,0.005,0,20,22,1.8,25,None,30,250
Collagen (33.33) and Elastin (66.66) and PEO (0.5),3,10mM Hydrochloric acid,None,0.005,0,20,22,1.8,25,None,30,320
Collagen(25) and Elastin (75) and PEO (0.5),4,10mM Hydrochloric acid,None,0.005,0,20,22,1.8,25,None,30,600
Collagen (33.33) and Elastin (66.66) and PEO (0.5),3,10mM Hydrochloric acid,None,0.005,0,20,22,1.8,25,None,30,220
PEO,0.99,Water,None,0,0,21.5,30,1.6,25,None,30,70
PEO,1.47,Water,None,0,0,21.5,30,1.6,25,None,30,80
PEO,1.96,Water,None,0,0,21.5,30,1.6,25,None,30,100
PEO,2.43,Water,None,0,0,21.5,30,1.6,25,None,30,150
PEO,2.91,Water,None,0,0,21.5,30,1.6,25,None,30,180
PEO,3.38,Water,None,0,0,21.5,30,1.6,25,None,30,200
PEO,3.84,Water,None,0,0,21.5,30,1.6,25,None,30,250
PEO,4.3,Water,None,0,0,21.5,30,1.6,25,None,30,250
PEO,3,Water,None,0.0015,0,21.5,30,1.6,25,None,30,200
PEO,3,Water,None,0.006,0,21.5,30,1.6,25,None,30,200
PEO,3,Water,None,0.03,0,21.5,30,1.6,25,None,30,150
PEO,3,Water,None,0.15,0,21.5,30,1.6,25,None,30,180
PEO,3,Water,None,0.3,0,21.5,30,1.6,25,None,30,180
PEO,3,Water,None,1.5,0,21.5,30,1.6,25,None,30,70
PEO,3,Water,None,0,0,21.5,30,1.6,25,None,30,180
PEO,3.15,Water,None,0,5,21.5,30,1.6,25,None,30,180
PEO,3.2,Water,None,0,10,21.5,30,1.6,25,None,30,200
PEO,3.75,Water,None,0,20,21.5,30,1.6,25,None,30,250
PEO,4.2,Water,None,0,30,21.5,30,1.6,25,None,30,300
PEO,5,Water,None,0,40,21.5,30,1.6,25,None,30,350
PVA,8,Water,None,0,0,17,9,0.3,25,None,30,100
PVA99.9 and GA,8,Water,None,0,0,17,9,0.3,25,None,30,200
PVA99.9 and GA ,8,Water,None,0,0,17,9,0.3,25,Water 4h,30,200
PVA99.9 and GA in HCl and Methanol for 9 days,8,Water,None,0,0,17,9,0.3,25,Water 4h,30,200
PVA99.9 and GA in HCl and Methanol for 15 days,8,Water,None,0,0,17,9,0.3,25,Water 4h,30,200
PVA99.9 and GA in HCl and Methanol for 9 days,8,Water,None,0,0,17,9,0.3,25,Water 24h,30,200
PVA99.9 and GA in HCl and Methanol for 15 days,8,Water,None,0,0,17,9,0.3,25,Water 24h,30,200
PVA88 and PEI and GA,12,Water,None,0,0,25,18.6,0.3,25,None,30,459.7
PVA88 and PEI and GA,12,Water,None,0,0,25,18.6,0.3,25,Water 1W,30,459.7
HA and PVA88 and PEI and GA,12,Water,None,0,0,25,18.6,0.3,25,Water 1W,30,520
Cellulose acetate,15,Acetone (66.6) + Dimethylacetate (33.3),None,0,0,15,15,0.5,25,None,55,380
10% PVA98 and 10% PVP,10,Water,None,0,0,15,20,0.5,25,None,30,247
10% PVA98 and 10% PVP and 5% Chitosan,7.5,Water,None,0,0,15,20,0.5,25,None,30,168
10% PVA98 and 10% PVP-Iodine and 5% Chitosan ,10,Water,None,0,0,15,20,0.5,25,None,30,298
PVA98,8,Water,None,0,0,35,18,0.1,25,None,30,250
PVA98,9,Water,None,0,0,35,18,0.1,25,None,30,288
PVA98,10,Water,None,0,0,35,18,0.1,25,None,30,431
